location,population,Cases_PostVaccination,New_Cases_Count
Pakistan,220892331,12073,NULL
Netherlands,17134873,13072,23.7382105531481
Chile,19116209,13990,329.446064139942
Indonesia,273523621,14518,250.45720555962
China,1439323774,15136,NULL
Philippines,109581085,15298,690.997023809524
Canada,37742157,16141,1879.53488372093
Portugal,10196707,16432,894.487510766581
Czechia,10708982,17773,465050
Kazakhstan,18776707,18757,40.6644829199813
Ukraine,43733759,20456,1676200
Colombia,50882884,21078,13.4318031406053
Peru,32971846,21358,465.570175438596
Switzerland,8654618,21926,2.29078145205986
South Africa,59308690,21980,102.964601769912
Belgium,11589616,23921,855.045871559633
Iran,83992953,25582,25.4064414893089
Mexico,128932753,28115,1091.21552604699
Argentina,45195777,29472,275.648611743286
Russia,145934460,29499,0.956576151835507
Sweden,10099270,32485,2.03981685287354
Poland,37846605,35253,889.716840536513
Africa,1340598113,36473,329480
Italy,60461828,40902,430.473575840769
Germany,83783945,49044,127309.090909091
Turkey,84339067,63082,2.30676428987437
United Kingdom,67886004,68192,250.690846286701
Spain,46754783,93822,3640.90712742981
Brazil,212559409,100158,393.733800884281
France,68147687,117900,2524.64622641509
South America,430759772,162919,9898.25072886297
European Union,444919060,274748,746990.909090909
United States,331002647,300310,17.5627344298353
North America,592072204,327335,66679.7674418605
Europe,748680069,346447,1569318.18181818
India,1380004385,401993,159.024517475222
Asia,4639847425,518375,4373850
World,7794798729,905992,4512027.27272727
